Assignment,Attendence,Book,Course,Feedback,Lecture,Manual,Page,Project,Questionnaire,Quiz,Source,Study_material,Survey,Test,URL
184252.0,0.0,631.0,85816.0,0.0,29026.0,6941.0,0.0,0.0,0.0,80137.0,0.0,5048.0,3786.0,327489.0,1262.0
68912.0,0.0,236.0,32096.0,0.0,10856.0,2596.0,0.0,0.0,0.0,29972.0,0.0,1888.0,1416.0,122484.0,472.0
144336.0,372.0,372.0,57660.0,0.0,23808.0,2604.0,0.0,0.0,0.0,61380.0,0.0,3720.0,3348.0,149172.0,744.0
190508.0,491.0,491.0,76105.0,0.0,31424.0,3437.0,0.0,0.0,0.0,81015.0,0.0,4910.0,4419.0,196891.0,982.0
142008.0,366.0,366.0,56730.0,0.0,23424.0,2562.0,0.0,0.0,0.0,60390.0,0.0,3660.0,3294.0,146766.0,732.0
3471.0,221.0,52.0,793.0,0.0,702.0,221.0,0.0,0.0,0.0,494.0,0.0,52.0,182.0,1911.0,13.0
121752.0,7752.0,1824.0,27816.0,0.0,24624.0,7752.0,0.0,0.0,0.0,17328.0,0.0,1824.0,6384.0,67032.0,456.0
42453.0,2703.0,636.0,9699.0,0.0,8586.0,2703.0,0.0,0.0,0.0,6042.0,0.0,636.0,2226.0,23373.0,159.0
835.0,55.0,10.0,460.0,0.0,330.0,85.0,0.0,0.0,5.0,895.0,0.0,55.0,35.0,1185.0,0.0
65631.0,4323.0,786.0,36156.0,0.0,25938.0,6681.0,0.0,0.0,393.0,70347.0,0.0,4323.0,2751.0,93141.0,0.0
17535.0,1155.0,210.0,9660.0,0.0,6930.0,1785.0,0.0,0.0,105.0,18795.0,0.0,1155.0,735.0,24885.0,0.0
51770.0,3410.0,620.0,28520.0,0.0,20460.0,5270.0,0.0,0.0,310.0,55490.0,0.0,3410.0,2170.0,73470.0,0.0
8289.0,0.0,0.0,2403.0,0.0,1080.0,783.0,27.0,0.0,0.0,810.0,0.0,378.0,216.0,7182.0,27.0
95170.0,0.0,0.0,27590.0,0.0,12400.0,8990.0,310.0,0.0,0.0,9300.0,0.0,4340.0,2480.0,82460.0,310.0
122186.0,0.0,0.0,35422.0,0.0,15920.0,11542.0,398.0,0.0,0.0,11940.0,0.0,5572.0,3184.0,105868.0,398.0
20876.0,0.0,0.0,6052.0,0.0,2720.0,1972.0,68.0,0.0,0.0,2040.0,0.0,952.0,544.0,18088.0,68.0
3384.0,9.0,27.0,1431.0,0.0,576.0,171.0,9.0,0.0,0.0,486.0,0.0,189.0,72.0,1332.0,0.0
